   92 2018-06-07 05:09:38.438641324    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2717 Ack=316394 Win=241152 Len=0 TSval=50132553 TSecr=50136298 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   93 2018-06-07 05:09:38.438653777    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   94 2018-06-07 05:09:38.439369101    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2717 Ack=330874 Win=249600 Len=0 TSval=50132553 TSecr=50136298 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   95 2018-06-07 05:09:38.439387230    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   96 2018-06-07 05:09:38.439401249    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   97 2018-06-07 05:09:38.440454587    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2717 Ack=343906 Win=249600 Len=0 TSval=50132554 TSecr=50136298 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   98 2018-06-07 05:09:38.440465300    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   99 2018-06-07 05:09:38.441538728    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2717 Ack=356938 Win=249600 Len=0 TSval=50132554 TSecr=50136299 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  100 2018-06-07 05:09:38.442741044    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2717 Ack=370509 Win=251648 Len=0 TSval=50132554 TSecr=50136299 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  101 2018-06-07 05:09:38.444730774    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.ppc HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  102 2018-06-07 05:09:38.444971834    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  103 2018-06-07 05:09:38.444991740    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  104 2018-06-07 05:09:38.445110826    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  105 2018-06-07 05:09:38.445240942    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2890 Ack=383541 Win=249600 Len=0 TSval=50132555 TSecr=50136300 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  106 2018-06-07 05:09:38.445260822    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  107 2018-06-07 05:09:38.446258268    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2890 Ack=396573 Win=241152 Len=0 TSval=50132555 TSecr=50136300 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  108 2018-06-07 05:09:38.446270718    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  109 2018-06-07 05:09:38.447454005    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2890 Ack=411053 Win=249600 Len=0 TSval=50132555 TSecr=50136300 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  110 2018-06-07 05:09:38.447470071    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  111 2018-06-07 05:09:38.448538799    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2890 Ack=424085 Win=249600 Len=0 TSval=50132556 TSecr=50136300 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
